class_id,class_name,IoU,Precision,Recall,F1-score,Valid,Samples
0,Background,0.7194834575413445,0.8140627712492551,0.8609708413313928,0.8368594938814028,True,3780212.0
1,Meadow,0.6277678391417981,0.7137627648204735,0.8389825941687439,0.771323059408049,True,1959245.0
2,Soft winter wheat,0.7755416288345468,0.8182609752133698,0.9369283726886336,0.8735826571262356,True,677355.0
3,Corn,0.7875343394854231,0.8308133422033879,0.9379577473983487,0.8811398772546735,True,819756.0
4,Winter barley,0.7797955925908545,0.8358145942536451,0.9208529181298909,0.8762749519426444,True,192948.0
5,Winter rapeseed,0.7596296928697605,0.7813638958366652,0.9646759965538405,0.863396725898497,True,163972.0
6,Spring barley,0.5579191238342734,0.6562006502452981,0.7883635281278902,0.7162358161918166,True,75968.0
7,Sunflower,0.7746739372984399,0.8571680603971024,0.8894950752335508,0.8730319158873977,True,94077.0
8,Grapevine,0.5332786350813578,0.6299193520446249,0.7765859278696768,0.6956051479847595,True,273013.0
9,Beet,0.7861795723266775,0.8204149135294354,0.9495967458027842,0.8802912544021522,True,85815.0
10,Winter triticale,0.602909090900971,0.7380551983259462,0.767040197375569,0.752268102713959,True,74250.0
11,Winter durum wheat,0.5988956833025014,0.6689546705536263,0.851157804447525,0.7491361638813323,True,99428.0
12,"Fruits, vegetables, flowers",0.48226192554958486,0.5617654802584819,0.7731203162188401,0.6507103177353879,True,97333.0
13,Potatoes,0.545428296421385,0.6651928945666643,0.7518241719032492,0.7058598742631151,True,31170.0
14,Leguminous fodder,0.5082822918836056,0.6895563687510577,0.6591076263309772,0.6739877776708699,True,165715.0
15,Soybeans,0.7593678859983455,0.810847309383542,0.9228438433028451,0.8632275876242472,True,83023.0
16,Orchard,0.5265061303644262,0.6809176753827123,0.6989552296972514,0.6898180601139232,True,102033.0
17,Mixed cereal,0.4433708764422966,0.7056628954258345,0.5439687624086612,0.6143542576227116,True,52473.0
18,Sorghum,0.40521993908004894,0.5142871122293207,0.6564451661049074,0.5767347611290999,True,51878.0
19,Void,0.0,0.0,0.0,0.0,True,776982.0
