class_id,class_name,IoU,Precision,Recall,F1-score,Valid,Samples
0,Background,0.7317617178889736,0.8217602451021633,0.8698185107970879,0.8451062033986477,True,3820782.0
1,Meadow,0.6355723073366144,0.7335887793227494,0.8262936034770697,0.7771859391808501,True,1835692.0
2,Soft winter wheat,0.7662732578065717,0.7983930765046752,0.9501173079546457,0.8676718805268923,True,659026.0
3,Corn,0.7962390667873238,0.8298730369060522,0.9515647714908633,0.8865619666617156,True,873028.0
4,Winter barley,0.7429643137277423,0.7907897501642827,0.9247263157154283,0.8525290790971544,True,192483.0
5,Winter rapeseed,0.8218082887870836,0.8523418471187604,0.9582301494006611,0.9021891490429994,True,155849.0
6,Spring barley,0.5273802952383143,0.6136326207863109,0.7895617901171902,0.6905679234375177,True,70653.0
7,Sunflower,0.7575145707280183,0.8031034123557573,0.9302871082630045,0.8620288517967292,True,91622.0
8,Grapevine,0.5549209457482506,0.6734316666519725,0.7592283266597789,0.7137604775711587,True,330912.0
9,Beet,0.7426188988681504,0.7655862793032471,0.9611713627645643,0.8523016355204741,True,73634.0
10,Winter triticale,0.49983639024369525,0.8178026994049479,0.562472140922063,0.6665207370103119,True,58065.0
11,Winter durum wheat,0.6369249004100663,0.6849471994265355,0.9008381962769143,0.7781963590406678,True,133303.0
12,"Fruits, vegetables, flowers",0.5392459569025548,0.6820196732312871,0.7203531536271782,0.7006619961647632,True,119834.0
13,Potatoes,0.7174464860497274,0.868550199473992,0.804836584606025,0.8354799559957864,True,26395.0
14,Leguminous fodder,0.5139346036616068,0.6346960598788441,0.7298121714124598,0.6789384769625251,True,180163.0
15,Soybeans,0.8215340846844884,0.9008158694518796,0.9032361551018243,0.9020238887709053,True,109668.0
16,Orchard,0.5187101024713654,0.6754350371485742,0.6909265562101571,0.6830924769589628,True,112319.0
17,Mixed cereal,0.4608078582824289,0.68486165899995,0.5848114028923229,0.6308940532186861,True,55381.0
18,Sorghum,0.4964779810343973,0.613443536501254,0.722519266907979,0.6635281182787485,True,39466.0
19,Void,0.0,0.0,0.0,0.0,True,724612.0
