class_id,class_name,IoU,Precision,Recall,F1-score,Valid,Samples
0,Background,0.7307433020349494,0.8286409751932406,0.8608264447543857,0.8444266329352487,True,3827058.0
1,Meadow,0.6272735682338273,0.712052605564651,0.8404702272060756,0.7709498592540827,True,1880964.0
2,Soft winter wheat,0.7547389271129259,0.7907591819908582,0.9430813063032939,0.8602288125622977,True,671460.0
3,Corn,0.7947863215396873,0.8244417171258148,0.9567017878658204,0.8856607227038418,True,842668.0
4,Winter barley,0.7760043264016114,0.8230551857285229,0.9313872612016376,0.8738761190562442,True,201553.0
5,Winter rapeseed,0.8021668199491845,0.8303412555346052,0.9594172532266529,0.8902243264818974,True,182664.0
6,Spring barley,0.673481838598374,0.813662921333687,0.796298251155982,0.8048864406379584,True,67203.0
7,Sunflower,0.743224263164755,0.8163454700941734,0.8924449246219506,0.8527001877191639,True,91134.0
8,Grapevine,0.5815683895626891,0.6906732627326562,0.7863949841025344,0.7354319922785526,True,384101.0
9,Beet,0.8421865945432606,0.8850254928311381,0.9456494003451691,0.9143331484349771,True,88009.0
10,Winter triticale,0.6544351923658674,0.7361977048773201,0.8549168429923416,0.7911277323819894,True,74698.0
11,Winter durum wheat,0.5783150152494301,0.6168951298293629,0.902412781209625,0.7328253599767144,True,143574.0
12,"Fruits, vegetables, flowers",0.5108307065377218,0.6392279478006226,0.7177676352933218,0.676224447758233,True,104056.0
13,Potatoes,0.5984441343092597,0.8022848499003946,0.7019713011736566,0.748782798997334,True,33679.0
14,Leguminous fodder,0.4565976559655302,0.625549555026808,0.6283310922267257,0.6269367384280118,True,180117.0
15,Soybeans,0.7989804126731314,0.8367046596279527,0.9465839935590012,0.8882586591859967,True,103179.0
16,Orchard,0.43055056826837346,0.5260376280401784,0.7034313390994825,0.6019363839685963,True,119749.0
17,Mixed cereal,0.3769005909365334,0.5271796681807512,0.5693681100305186,0.5474618134329072,True,47551.0
18,Sorghum,0.5362631516569256,0.7261485512755663,0.6722113140194786,0.6981392056095591,True,33836.0
19,Void,0.0,0.0,0.0,0.0,True,786188.0
