class_id,class_name,IoU,Precision,Recall,F1-score,Valid,Samples
0,Background,0.7267700861121777,0.823956616010547,0.8603668997462288,0.8417677147255361,True,3813854.0
1,Meadow,0.6197043697087012,0.7098893694132992,0.8298738230344509,0.7652062670583518,True,1992421.0
2,Soft winter wheat,0.7827658683710151,0.8212536053283604,0.9435114556388765,0.878147196674157,True,699867.0
3,Corn,0.7814726777547667,0.8183752604006268,0.9454459287137157,0.8773328319384709,True,750524.0
4,Winter barley,0.7600023179746664,0.8165140470527561,0.9165341766053628,0.8636373619239346,True,207077.0
5,Winter rapeseed,0.8072584521668148,0.8377843554563112,0.9568132181118804,0.8933509220773724,True,187230.0
6,Spring barley,0.5895597596526355,0.6669216116274111,0.835593404194048,0.7417894969800432,True,78389.0
7,Sunflower,0.7074224134271132,0.746175807127219,0.9316054081900615,0.8286432065306466,True,119705.0
8,Grapevine,0.5779747530511055,0.64725304673298,0.8437475803291031,0.7325521074281863,True,320514.0
9,Beet,0.7195599328861194,0.7586696507982738,0.9331478384280323,0.8369112280444645,True,87623.0
10,Winter triticale,0.6283369864465193,0.7212903225690115,0.8298077636601016,0.771752513858751,True,71172.0
11,Winter durum wheat,0.6142931075720542,0.6603203334468617,0.8980926245790778,0.7610671327397762,True,129461.0
12,"Fruits, vegetables, flowers",0.49753760402670905,0.6954839570316126,0.6361118229108113,0.6644737722056258,True,104776.0
13,Potatoes,0.41115472337529424,0.4628175657383402,0.7864752434665951,0.5827205017950554,True,37706.0
14,Leguminous fodder,0.4610239413608776,0.5832309387749184,0.6875223987524823,0.6310965419695809,True,199738.0
15,Soybeans,0.7860273608618068,0.8549103038786685,0.9070237282341472,0.8801958267439316,True,82819.0
16,Orchard,0.49771092216656687,0.6365772348644183,0.6952666299332886,0.6646283219234554,True,103972.0
17,Mixed cereal,0.5236197397649218,0.6563447021753936,0.7214001655182711,0.6873360144116898,True,68248.0
18,Sorghum,0.6154171960940369,0.7604912424853638,0.7633736748144596,0.7619292325520848,True,66108.0
19,Void,0.0,0.0,0.0,0.0,True,825923.0
