fold,mIoU,samples,valid_classes
1,0.6142383679926848,7979008,20
2,0.6133854570227092,8093696,20
3,0.6077076142203867,7766016,20
4,0.5987024078399401,7897088,20
5,0.605380581977063,8126464,20
